timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.649843;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 38984:40432, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649846;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 40432, win 885, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649850;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 40432:41880, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649852;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 41880, win 907, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649856;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 41880:43328, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649857;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 43328, win 930, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649861;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 43328:44776, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649863;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 44776, win 953, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649867;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 44776:46224, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649868;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 46224, win 975, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649872;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 46224:47672, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649874;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 47672, win 998, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649878;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 47672:49120, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649879;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 49120, win 1020, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
